incident_id,restaurant_name,location,city,state,date_reported,date_inspection,authority,finding,finding_categories,action_taken,samples_collected,closure_status,verification_status,source_name,source_type,source_url,evidence_excerpt,last_updated
FS-D71E6EA01D,"No FSSAI, no hygiene: TG SAFE closes restaurant in Hyderabad",,,,2026-09-24,,,"No FSSAI, no hygiene: TG SAFE closes restaurant in Hyderabad - The Siasat Daily",Pest infestation; Spoiled / stale food; Labelling / date-marking; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration; Storage / packaging,seized; closed; inspection; raid,,,News report — corroboration recommended,The Siasat Daily,Other,https://www.siasat.com/no-fssai-no-hygiene-tg-safe-closes-restaurant-in-hyderabad-3547710/,"No FSSAI, no hygiene: TG SAFE closes restaurant in Hyderabad Hyderabad Telangana India Middle East Entertainment Sports Business Photos Videos Menu Search for Home Hyderabad Telangana India Middle East Entertainment Sports Business Photos Videos Sidebar Siasat.com / News / Hyderabad / No FSSAI, no hygiene: TG SAFE closes restaurant in Hyderabad No FSSAI, no hygiene: TG SAFE closes restaurant in Hyderabad In August, TG SAFE has inspected 208 food and pharmacy establishments and cancelled 30 licences. News Desk Follow on Twitter | Edited by Veena Nair | Published: 24th September 2026 9:25 pm IST Hyderabad: A restaurant in Hyderabad was closed on Thursday, September 24, for food safety violatio",2026-09-25
FS-946D5215EA,"FSSAI moves to ban analogue paneer, orders products to drop paneer label",,,,2026-09-24,,,"FSSAI moves to ban analogue paneer, orders products to drop paneer label - India Today",Pest infestation; Labelling / date-marking; Water / ice safety; Licensing / registration; Storage / packaging,,,,News report — corroboration recommended,India Today,Other,https://www.indiatoday.in/amp/india/story/bombay-high-court-thane-restaurant-analogue-paneer-licence-suspension-3002129-2026-09-24,"Analogue paneer, Bombay High Court: Thane restaurant denied relief over suspended licence - India Today India Today Aaj Tak India Today Hindi NewsTak GNTTV Lallantop Business Today Bangla Malayalam Northeast BT Bazaar Harper's Bazaar Sports Tak Astro Tak Gaming Brides Today Cosmopolitan Kisan Tak Reader’s Digest Magazine LIVE Live TV Search Home TV Live TV Primetime Magazine Latest Edition Insight Best Colleges India Today Hindi Jobs India Business All Business News Share Market IPO Personal Finance Companies Life+Style Puzzles South Global Sports Asian Games Medal Tally All Sports Cricket Live Score Football Technology Showbuzz Entertainment Movies Bollywood Hollywood Television OTT Latest",2026-09-25
FS-5CC03FD278,"For Small Eateries, FSSAI Compliance Is A Survival Test",,,,2026-09-24,,,"For Small Eateries, FSSAI Compliance Is A Survival Test - outlookbusiness.com",Pest infestation; Adulteration; Labelling / date-marking; Water / ice safety; Poor hygiene / sanitation; Waste / drainage; Licensing / registration; Storage / packaging,inspection; raid,,,News report — corroboration recommended,outlookbusiness.com,Other,https://www.outlookbusiness.com/industry/fda-fssai-scrutiny-threatens-small-food-businesses-compliance-costs-market-formalisation,"For Small Eateries, FSSAI Compliance Is A Survival Test – Outlook Business SUBSCRIBE INDIA MONEY TRAVELLER EATS RESPAWN LUXE Buy Latest Issue Get magazine delivered to your doorstep Buy on Amazon Get latest issue delivered instantly Buy on Blinkit Only in Delhi-NCR, Mumbai, Bengaluru, Pune, Lucknow & Kolkata SUBSCRIBE Delivery within India Delivery outside India Buy latest issue sign in SUBSCRIBE Get magazine delivered to your doorstep Buy on Amazon Get latest issue delivered instantly Buy on Blinkit Only in Delhi-NCR, Mumbai, Bengaluru, Pune, Lucknow & Kolkata × Magazine Markets Corporate Corporate Strategist Down the Ages Economy & Policy Nash Equilibria Essays Newsletters News AI Start-Up",2026-09-25
FS-B3A7D69A00,Chef's View: Literacy and Education are Primary to Food Safety in India,,,,2026-09-24,,,Chef's View: Literacy and Education are Primary to Food Safety in India - Outlook India,Pest infestation; Expired food; Spoiled / stale food; Labelling / date-marking; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Food-handler hygiene; Licensing / registration,fine; samples collected,,,News report — corroboration recommended,Outlook India,Other,https://www.outlookindia.com/national/chefs-view-literacy-and-education-are-primary-to-food-safety-in-india,Chef's View: Literacy and Education are Primary to Food Safety in India | Outlook India Subscribe Delivery Within India Delivery Outside India Subscribe Delivery Within India Delivery Outside India BUSINESS MONEY TRAVELLER EATS RESPAWN LUXE BUSINESS MONEY TRAVELLER EATS RESPAWN LUXE ✕ ✕ National International Magazine Book Reviews Weekender Sports ▾ Cricket Football Badminton Tennis Entertainment Elections Others ▾ The India Drive Web Stories Brand Studio Sohini Sastri Astro N.E.W.S. NexaPost Hub4Business Tourism Spotlight Healthcare Spotlight Entertainment Spotlight OLB Spotlight Initiatives ABOUT US CONTACT US COPYRIGHT & DISCLAIMER Subscription Buy Latest Issue follow us Home National Che,2026-09-25
FS-3E87E114B7,High-profile raids spotlight India's food-safety struggles,,,,2026-09-18,,,High-profile raids spotlight India's food-safety struggles - DW.com,Pest infestation; Adulteration; Labelling / date-marking; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Food-handler hygiene; Storage / packaging,fine; inspection; raided; raid,,,News report — corroboration recommended,DW.com,Other,https://www.dw.com/en/high-profile-raids-spotlight-indias-food-safety-struggles/a-79324342,"High-profile raids spotlight India's food-safety struggles Skip to content Skip to main menu Skip to more DW sites Latest videos Latest audio Regions Africa Asia Europe Latin America Middle East North America Germany Topics Climate Equality Health Human Rights Migration Technology Categories Business Science Environment Culture Sports In focus German politics AI Russia Latest audio Latest videos Live TV Advertisement Food Security India High-profile raids spotlight India's food-safety struggles Murali Krishnan in New Delhi 09/18/2026 September 18, 2026 Recent raids at luxury hotels and a wider crackdown on food companies have renewed the debate about food-safety standards and enforcement in",2026-09-25
FS-7B473A654A,"FSSAI raids: Restaurants, quick commerce firms brace for tougher food safety checks",,,,2026-09-01,,,"FSSAI raids: Restaurants, quick commerce firms brace for tougher food safety checks - Moneycontrol.com",Pest infestation; Expired food; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration; Storage / packaging,seized; destroyed; closure; inspection; raid,,,News report — corroboration recommended,Moneycontrol.com,Other,https://www.moneycontrol.com/news/business/startup/fssai-raids-restaurants-quick-commerce-firms-brace-for-tougher-food-safety-checks-14019275.html,"FSSAI raids: Restaurants, quick commerce firms brace for tougher food safety checks Select language English Hindi Gujarati Specials Search Quotes, News, Mutual Fund NAVs Quotes Mutual Funds ETFs Commodities Futures & Options Unlisted Shares Currency News Topic Cryptocurrency Forum Notices Videos Glossary All My Alerts Go Ad-Free Hello, Login Hello, Login Log-in or Sign-Up My Account My Profile My Portfolio My Watchlist My Alerts My Messages Price Alerts My Profile My PRO My Portfolio My Watchlist My Alerts My Messages Price Alerts Logout Loans up to ₹50 LAKHS Fixed Deposits Credit Cards Lifetime Free Credit Score Loan against MFs Chat with Us Download App Follow us on: ->->MC_ENG_DESKTOP/MC_",2026-09-25
FS-11EEBFD5FC,FSSAI crackdown pushes restaurants to get kitchens in order,,,,2026-09-08,,,FSSAI crackdown pushes restaurants to get kitchens in order - Livemint,Pest infestation; Expired food; Adulteration; Temperature control; Water / ice safety; Poor hygiene / sanitation; Equipment / premises,closed; inspection,,,News report — corroboration recommended,Livemint,Other,https://www.livemint.com/companies/news/fssai-food-safety-crackdown-restaurants-india-hygiene-11788798682231.html,FSSAI crackdown pushes restaurants to get kitchens in order | Company Business News Subscribe Sign in View Market Dashboard Home Markets Market News Stock Markets IPO Mint Portfolio US Markets Mark to Market Bonds Commodities Cryptocurrency Market Data Stock Pages Index pages Commodities Gold Price Today Silver Price Today Fuel Petrol price today Diesel price today News India World WSJ Economist US News Trends Mint Portfolio Money Personal Finance Insurance Ask Mint Money Mutual Funds MyMint Latest news NSE IPO Premium e-paper Global Partners WSJ Economist Barron's Mint Specials Mint Explainers Mark to Market Long Story Plain Facts Snapview Sections Companies Technology Markets Personal Fina,2026-09-25
FS-03ECCF0F18,Kolkata Municipal Corporation suspends FSSAI license for 40 food outlets in the city,,,,2026-09-09,,,Kolkata Municipal Corporation suspends FSSAI license for 40 food outlets in the city - The Hindu,Pest infestation; Expired food; Spoiled / stale food; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration,destroyed; closure; inspection,,,News report — corroboration recommended,The Hindu,News,https://www.thehindu.com/news/cities/kolkata/kolkata-muncipal-corporation-suspends-fssai-license-for-40-food-outlets-in-the-city/article71446636.ece,"Kolkata Municipal Corporation suspends FSSAI license for 40 food outlets in the city - The Hindu You are logged in Loading... LOGOUT You don’t have any Active Subscription. Subscribe now Subscribed with another email? Logout and Login with that one. Your active subscription(s) Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription Products you've access to Additional Subscription Benefits eBooks Webinars Newsletters Games Monthly Digest Account Settings Go to My Account Bookmarks Manage Subscriptions Need help with your subscription? customersupport@thehindu.co.in 1800 102 1878 September 9, 2026 e-Paper LOGIN Account eBooks Subs",2026-09-25
FS-B5F35F8B30,"FSSAI crackdown spooks food businesses, compliance queries up 40%",,,,2026-09-03,,,"FSSAI crackdown spooks food businesses, compliance queries up 40% - Business Standard",Pest infestation; Expired food; Labelling / date-marking; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration; Storage / packaging,,,,News report — corroboration recommended,Business Standard,Other,https://www.business-standard.com/industry/news/fssai-crackdown-spooks-food-businesses-compliance-queries-up-40-126090301414_1.html,"FSSAI crackdown spooks food businesses, compliance queries up 40% | Industry News - Business Standard Friday, September 25, 2026 | 02:39 PM IST हिंदी में पढें Home Industry Auto Banking Aviation SME Agriculture Home / Industry / News / FSSAI crackdown spooks food businesses, compliance queries up 40% FSSAI crackdown spooks food businesses, compliance queries up 40% Consultants report a 40 per cent increase in compliance-related queries since July premium Representative image Udisha Srivastav 4 min read Last Updated : Sep 03 2026 | 11:23 PM IST Listen to This Article A recent crackdown by the Food Safety and Standards Authority of India (FSSAI) on restaurants has triggered a surge in complian",2026-09-25
FS-215BA9581C,India’s hotels face operational disruption as FSSAI intensifies food-safety raids,,,,2026-09-14,,,India’s hotels face operational disruption as FSSAI intensifies food-safety raids - Travel Daily Media,Pest infestation; Spoiled / stale food; Labelling / date-marking; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration; Storage / packaging,inspection; raid,,,News report — corroboration recommended,Travel Daily Media,Other,https://www.traveldailymedia.com/indias-hotels-face-operational-disruption-as-fssai-intensifies-food-safety-raids/,India's hotels face operational disruption as FSSAI intensifies food-safety raids Skip to content Travel Daily Media Boost your business & benchmark against your competitors with TDM Travel Trade Excellence Awards 2026 – start your entry here » TDM Travel Trade Excellence Awards 2026 – start your entry here » Success! Your account is ready. Let's get started! Login to your Account Welcome Back! Select method to log in Username Password Remember Me Forgot Password? Login Continue with Facebook Continue with Google Continue with Twitter Don't have an account? Register Sign Up Enter your details below to create your account and get started. I want to Join the Community Events Name Email Passwor,2026-09-25
